Initial Fi,Density,Final Pressure,Final Temperature,Velocity
0.10000000000000001,1.924211302277598,992.20926991415922,1960.0202442015993,1380.1567448633389
0.20000000000000001,2.0304586300030052,1528.8238332475044,2788.0372882166312,1687.8400221965096
0.29999999999999999,2.0781178272347298,1844.6626676981118,3148.4346791293992,1840.1931559640836
0.40000000000000002,2.1072148425520751,2084.8712322267556,3351.5214649761015,1947.8233089873379
0.5,2.1241672838507077,2286.3795896645829,3486.9107688926174,2035.8433846152814
0.59999999999999998,2.14065123487666,2472.298448074675,3586.1970133895802,2112.1541633004022
0.69999999999999996,2.1558296755356934,2645.9839348576211,3662.0317979446663,2180.1612148443637
0.79999999999999993,2.1703866219015415,2810.2845617851181,3720.9391197279506,2241.6343982364024
0.89999999999999991,2.1810166494834688,2960.9868343267945,3765.8184540754278,2297.5916087557162
0.99999999999999989,2.1927859127161753,3105.7782699815743,3799.3840421124241,2348.6424928480419
1.1000000000000001,2.2036702728273321,3241.444723737518,3822.2174495666122,2395.1247865287228
1.2,2.2137911296307538,3367.6255598698776,3834.6486425454609,2437.2010050507429
1.3,2.2232847190117235,3483.738515207443,3836.6028200845763,2474.8892958967326
1.4000000000000001,2.2318453962197,3588.195495523812,3827.6786981048576,2508.0995233681197
1.5,2.239291033674879,3679.4366903811192,3807.3994145517913,2536.6678697005973
1.6000000000000001,2.2457456776529909,3756.4418395415732,3775.4168449679869,2560.4002696132907
1.7,2.2512166581230706,3818.1313278723819,3731.611773401411,2579.1260745098675
1.8,2.255164606017134,3862.6653801757166,3676.141557353179,2592.7527197187478
1.8999999999999999,2.2571212608905538,3888.7528903137991,3609.5984932297065,2601.3046303094729
2.0,2.2619954351761735,3906.4126988507514,3534.1130560261827,2604.907637767124
